qc_id,fid,id,name,date,time,lon,lat,altitude,north,azimuth,cam. maker,cam. model,title,comment,path,relpath,timestamp,images,icon_url
"0","1",886e21d3-40b4-4a2b-8388-d054fbba8965,DJI_0006.JPG,2023/01/10,10:06:38,33.2604262222222,47.3901704444444,147.373,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0006.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0006.JPG",./100MEDIA/DJI_0006.JPG,2023/01/10 10:06:38,"<img src = ""./100MEDIA/DJI_0006.JPG"" width=""300"" height=""225""/>",./0.png
"1","2",c5576ab4-1afa-4b8d-a1fc-3bd8e1d2b521,DJI_0007.JPG,2023/01/10,10:06:52,33.2603811388889,47.3900410277778,149.67,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0007.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0007.JPG",./100MEDIA/DJI_0007.JPG,2023/01/10 10:06:52,"<img src = ""./100MEDIA/DJI_0007.JPG"" width=""300"" height=""225""/>",./0.png
"2","3",0f090639-ebf9-4205-a154-38614405c3d4,DJI_0008.JPG,2023/01/10,10:07:01,33.2600660277778,47.3896578333333,150.248,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0008.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0008.JPG",./100MEDIA/DJI_0008.JPG,2023/01/10 10:07:01,"<img src = ""./100MEDIA/DJI_0008.JPG"" width=""300"" height=""225""/>",./0.png
"3","4",b4fe8eba-bcbf-454f-9c2b-c7393d7290d8,DJI_0009.JPG,2023/01/10,10:07:13,33.2590435,47.3889494722222,151.548,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0009.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0009.JPG",./100MEDIA/DJI_0009.JPG,2023/01/10 10:07:13,"<img src = ""./100MEDIA/DJI_0009.JPG"" width=""300"" height=""225""/>",./0.png
"4","5",5f074137-cd78-4766-9287-a9141378ea94,DJI_0010.JPG,2023/01/10,10:07:26,33.2572038333333,47.3882161388889,165.942,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0010.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0010.JPG",./100MEDIA/DJI_0010.JPG,2023/01/10 10:07:26,"<img src = ""./100MEDIA/DJI_0010.JPG"" width=""300"" height=""225""/>",./0.png
"5","6",f07e587a-788e-4d20-bfe0-166d5c037b54,DJI_0011.JPG,2023/01/10,10:07:32,33.2562818055556,47.3878658333333,168.368,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0011.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0011.JPG",./100MEDIA/DJI_0011.JPG,2023/01/10 10:07:32,"<img src = ""./100MEDIA/DJI_0011.JPG"" width=""300"" height=""225""/>",./0.png
"6","7",38899e64-0cc6-4d0a-a29d-fa17e0640026,DJI_0012.JPG,2023/01/10,10:07:37,33.2555776388889,47.3875203888889,167.216,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0012.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0012.JPG",./100MEDIA/DJI_0012.JPG,2023/01/10 10:07:37,"<img src = ""./100MEDIA/DJI_0012.JPG"" width=""300"" height=""225""/>",./0.png
"7","8",93f77d1a-d3fc-4bff-be8a-8c1b890bf391,DJI_0013.JPG,2023/01/10,10:07:42,33.2554221666667,47.3870754444444,165.461,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0013.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0013.JPG",./100MEDIA/DJI_0013.JPG,2023/01/10 10:07:42,"<img src = ""./100MEDIA/DJI_0013.JPG"" width=""300"" height=""225""/>",./0.png
"8","9",321d33b0-f67c-4b9c-bf10-a4b09de3ff97,DJI_0014.JPG,2023/01/10,10:07:47,33.2553665277778,47.3867911111111,165.818,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0014.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0014.JPG",./100MEDIA/DJI_0014.JPG,2023/01/10 10:07:47,"<img src = ""./100MEDIA/DJI_0014.JPG"" width=""300"" height=""225""/>",./0.png
"9","10",df9ffc8f-80f4-4c8f-bec8-9113aa64ecea,DJI_0015.JPG,2023/01/10,10:07:52,33.2553373333333,47.3865826388889,169.793,,,DJI,FC6310R,DCIM\100MEDIA\DJI_0015.JPG,,"C:/Users/m.mushynskyi/agrosem.ua/Сергій Бовтачук - 1 Травня, фото для привязки/100MEDIA\DJI_0015.JPG",./100MEDIA/DJI_0015.JPG,2023/01/10 10:07:52,"<img src = ""./100MEDIA/DJI_0015.JPG"" width=""300"" height=""225""/>",./0.png
